Device Time,Engine Coolant Temperature(°C),Engine Load(%),Engine RPM(rpm),Fuel flow rate/minute(cc/min),Fuel Rate (direct from ECU)(L/m),Fuel used (trip)(l),Odometer(from ECU)(km),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Trip distance (stored in vehicle profile)(km),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V)
14-jul-2025 13:02:16.678,85,4.31,850.75,17.19,-,0.18,-,0,3.14,1.1,-10.35,12.8
14-jul-2025 13:02:18.183,85,4.31,848,17.32,-,0.18,-,0,3.14,1.1,-10.35,12.9
14-jul-2025 13:02:19.693,85,10.98,852.5,17.26,-,0.18,-,0,16.86,1.1,-10.35,12.9
14-jul-2025 13:02:21.178,86,27.45,2261.75,37.6,-,0.18,-,3.51,16.47,1.1,-5.27,12.9
14-jul-2025 13:02:22.683,86,7.45,1613.5,41.43,-,0.18,-,14.04,4.71,1.1,-10.78,12.7
14-jul-2025 13:02:24.217,86,3.92,889.5,32.84,-,0.19,-,8.19,3.14,1.11,-10.35,12.9
14-jul-2025 13:02:25.702,86,9.02,856,17.5,-,0.19,-,2.34,38.04,1.11,-10.49,12.8
14-jul-2025 13:02:27.230,86,61.57,2129.25,54.6,-,0.19,-,15.21,17.65,1.12,-1.07,12.9
14-jul-2025 13:02:28.710,87,60,2357.5,132.5,-,0.19,-,31.59,99.61,1.12,-1.36,12.9
14-jul-2025 13:02:30.204,87,85.88,3543,151.02,-,0.19,-,46.8,99.61,1.14,-0.92,12.8
14-jul-2025 13:02:31.705,87,90.59,4606.75,226.96,-,0.2,-,60.84,51.76,1.16,-0.92,12.9
14-jul-2025 13:02:33.236,87,81.96,3684,294.19,-,0.21,-,70.2,99.61,1.19,-0.92,12.8
14-jul-2025 13:02:34.748,87,88.63,4192.75,235.27,-,0.21,-,79.56,99.61,1.22,-0.92,12.8
14-jul-2025 13:02:36.233,87,18.04,3992.75,62.01,-,0.21,-,85.41,11.37,1.26,-11.51,12.8
14-jul-2025 13:02:37.803,87,15.29,3316.5,56.36,-,0.22,-,83.07,12.16,1.29,-11.65,12.8
14-jul-2025 13:02:39.285,87,32.16,3276.5,62.42,-,0.22,-,83.07,17.25,1.33,-10.64,12.9
14-jul-2025 13:02:40.774,87,30.98,3323.25,85.9,-,0.22,-,83.07,16.86,1.36,-9.04,12.8
14-jul-2025 13:02:42.263,87,39.22,3365,89.36,-,0.22,-,84.24,19.61,1.4,-8.9,12.9
14-jul-2025 13:02:43.767,87,43.14,3439.25,110.84,-,0.22,-,87.75,36.08,1.43,-7.59,12.8
14-jul-2025 13:02:45.257,87,78.04,3635.25,217.32,-,0.23,-,91.26,36.08,1.47,-1.07,12.9
14-jul-2025 13:02:46.757,87,20,3775.5,80.39,-,0.23,-,94.77,10.98,1.51,-9.91,12.9
14-jul-2025 13:02:48.290,86,42.35,3729,50.6,-,0.23,-,93.6,21.57,1.55,-11.8,12.9
14-jul-2025 13:02:49.780,86,42.35,3728,119.95,-,0.24,-,93.6,12.16,1.59,-7.74,12.8
14-jul-2025 13:02:51.255,86,15.29,3633.5,57.46,-,0.24,-,91.26,14.9,1.63,-11.36,12.9
14-jul-2025 13:02:52.743,85,34.12,3623,114.45,-,0.24,-,91.26,17.65,1.66,-7.88,12.9
14-jul-2025 13:02:54.252,85,20,3687.25,60.7,-,0.24,-,91.26,10.98,1.7,-11.07,12.9
14-jul-2025 13:02:55.738,84,15.29,3477.25,54.36,-,0.24,-,87.75,10.59,1.74,-11.51,12.8
14-jul-2025 13:02:57.249,84,24.31,3437.5,58.26,-,0.25,-,85.41,14.9,1.77,-11.07,13
14-jul-2025 13:02:58.750,84,34.51,3412.5,71.41,-,0.25,-,85.41,17.65,1.81,-10.2,13
14-jul-2025 13:03:00.254,83,30.59,3466.75,89.19,-,0.25,-,87.75,15.29,1.85,-9.04,12.9
14-jul-2025 13:03:01.741,83,26.27,3483,69.7,-,0.25,-,87.75,13.73,1.88,-10.35,12.7
14-jul-2025 13:03:03.248,83,24.71,3485,67.69,-,0.25,-,87.75,14.51,1.92,-10.49,12.9
14-jul-2025 13:03:04.764,82,26.27,3494.5,70.07,-,0.25,-,87.75,14.51,1.96,-10.35,13
14-jul-2025 13:03:06.250,82,17.65,3434.25,51.52,-,0.26,-,87.75,10.59,1.99,-11.51,13
14-jul-2025 13:03:07.731,82,14.12,3321.75,50.79,-,0.26,-,83.07,10.2,2.03,-11.51,13
14-jul-2025 13:03:09.234,81,15.69,3238.5,46.89,-,0.26,-,81.9,10.59,2.06,-11.65,12.9
14-jul-2025 13:03:10.724,81,15.29,3195.5,47.89,-,0.26,-,79.56,10.2,2.1,-11.51,12.9
14-jul-2025 13:03:12.255,81,15.29,3145.75,47.26,-,0.26,-,78.39,10.2,2.13,-11.51,12.9
14-jul-2025 13:03:13.743,81,14.12,3041.75,50.75,-,0.26,-,77.22,9.02,2.16,-11.22,13
14-jul-2025 13:03:15.225,81,11.37,2909.25,47.03,-,0.26,-,72.54,6.27,2.19,-11.36,12.8
14-jul-2025 13:03:16.711,81,4.71,1330.5,48.89,-,0.26,-,58.5,3.92,2.22,-11.07,12.8
14-jul-2025 13:03:18.230,80,3.92,871.25,25.04,-,0.26,-,37.44,3.53,2.24,-10.64,12.8
14-jul-2025 13:03:19.745,80,4.31,859.25,20.5,-,0.27,-,26.91,20.39,2.25,-9.62,12.9
14-jul-2025 13:03:21.230,80,78.82,2968.25,55.45,-,0.27,-,38.61,99.61,2.27,-0.78,13
14-jul-2025 13:03:22.717,80,78.04,3869,189.56,-,0.27,-,50.31,99.61,2.28,-0.92,12.9
14-jul-2025 13:03:24.226,80,19.61,4402.75,246.32,-,0.28,-,53.82,61.96,2.31,-0.92,12.9
14-jul-2025 13:03:25.759,80,30.98,3113.25,271.45,-,0.28,-,58.5,15.29,2.33,-1.36,12.9
14-jul-2025 13:03:27.288,80,15.29,3076.5,50.07,-,0.29,-,58.5,16.47,2.35,-11.22,13
14-jul-2025 13:03:28.795,80,34.51,3012.75,88.66,-,0.29,-,56.16,18.43,2.38,-8.46,13
14-jul-2025 13:03:30.276,80,38.43,3060.25,100.95,-,0.29,-,58.5,19.22,2.4,-7.45,12.9
14-jul-2025 13:03:31.780,80,20.78,3166.75,98.44,-,0.29,-,59.67,17.65,2.43,-7.74,13
14-jul-2025 13:03:33.269,80,32.16,3241.25,91.26,-,0.29,-,60.84,11.76,2.45,-8.46,12.9
14-jul-2025 13:03:34.777,81,29.02,3289,62.99,-,0.3,-,62.01,15.29,2.48,-10.49,13
